item_name,unit_price
Plastic Urine Pot collector (For both Male & Female),46.88
Pollution Control Mask/Nanofiber Mask:  made up of high efficiency nanofiber material with non ret,56.25
"Polyamide (3/8 Cir Micropoint Spatulated,6mm,length 38 Cm) size 8/0",328.13
"Polyamide (3/8 Cir Slim Blade Cutting Needle 15mm, Length 70 Cm)size 5/0",65.63
"Polyamide (3/8 Conventional Cutting Needle 16mm Length 70 cm), USP 3/0",28.13
"Polyamide (3/8 Conventional Cutting Needle 19mm Length 60 cm), Polyamide (3/8 Conventional Cutting Needle 19mm Length 60 cm), USP 4/0",56.25
"Polyamide (3/8 Cutting Edge Needle, Double Arms Needle 6 mm, Suture Length 35-42 Cm Size 10/0",403.13
"Polyamide (3/8 R Cutting Needle 45mm, Length 70 Cm.)size 2./0",26.25
"Polybutylate / Silicon Coated Polyster Braided Green / Blue (1/2 Cir Tapercut, 17 Mm Double Needle, Suture Length 75 Cm)size 4/0",79.69
"Polybutylate / Silicon Coated Polyster Braided Green / Blue (1/2 Cir Tapercut,17 Mm Double Needle, Suture Length 90 Cm)size 2/0,",79.69
"Polybutylate Coated Polyster Braided White (1/2 Cir Tapercut, 17 Mm Double Needle, Suture Length 90 Cm)size 2/0",79.69
"Polybutylate Coated with Polyster Braided (green/ Blue) 1/2 Circle Tapercut, 17mm Double Armed Needle, Suture Length of 90cm with Pledgets Size 6 x 3 x 1.5mm",239.06
"Polybutylate Coated with Polyster Braided (green/ Blue) 1/2 Circle Tapercut, 25mm Double Armed Needle, Suture Length of 90cm with Pledgets Size 6 x 3 x 1.5mm",239.06
"Polyglecaprone/Polyglyconate Suture (1/2 Circle Cutting 16mm Needle, Suture length 70cm), USP 4/0",131.25
"Polyglecaprone/Polyglyconate Suture (3/8 Circle Cutting 25mm Needle, Suture length 70cm), USP 3/0",60.94
"Polypropylene Suture (1/2 Cir Rb 13mm Needle, Suture Length 70cm, double arm), USP 6/0",239.06
"Polypropylene Suture (1/2 Cir Rb, 13mm Needle, Suture Length 75cm, double arm), USP 5/0",187.5
"Polypropylene Suture (1/2 Cir Rb, 17mm Needle, Suture Length 90cm), USP 4/0",46.88
"Polypropylene Suture (1/2 Cir Rb, 25mm Needle, Suture Length 75cm, double arm), USP 3/0",60.94
"Polypropylene Suture (1/2 Cir Rb, 25mm Needle, Suture Length 90cm), USP 3/0",46.88
"Polypropylene Suture (1/2 Cir Rb, 30mm Needle, Suture Length 90cm) double arm, USP 1/0",65.63
"Polypropylene Suture (1/2 Cir Rb, 30mm Needle, Suture Length 90cm), USP 2/0",46.88
"Polypropylene Suture (1/2 Cir Rb, 40mm Needle, Suture Length 90cm), USP 1",51.56
"Polypropylene Suture (1/2 Cir Rb, 45mm Needle, Suture Length 90cm), Polypropylene Suture (1/2 Cir Rb, 45mm Needle, Suture Length 90cm), USP 1",56.25
"Polypropylene Suture (1/2 Cir Rb, Reverse Cutting, 45mm Needle, Suture Length 100cm), USP 1",51.56
"Polypropylene Suture (1/2 Circle, Tapercut, 17mm Needle, Suture Length 90cm, double arm), USP 3/0",65.63
"Polypropylene Suture (1/2 Tapercut, 17mm Double Needle, Suture Length 70cm), USP3/0",79.69
"Polypropylene Suture (1/2 Tapercut, 17mm Double Needle, Suture Length 75cm) double arm, USP 5/0",243.75
"Polypropylene Suture (1/2 Tapercut, 25mm Double Needle, Suture Length 90cm) double arm, USP 1/0",201.56
"Polypropylene Suture (3/8 Cir Rb 8mm Double Needle, Suture Length 70cm), USP 8/0",112.5
"Polypropylene Suture (3/8 Cir Rb, 13mm Needle, Suture Length 90cm) double arm, USP 6/0",229.69
"Polypropylene Suture (3/8 Cir Rb, 16mm Needle, Suture Length 70cm), USP 5/0",42.19
"Polypropylene Suture (3/8 Cir Rb, 8mm Needle, Suture Length 60cm), USP 7/0",112.5
Pulse Oximeter,464.06
Rapid Diagnostic Malaria Test Kit,25.31
Reusable Menstrual Cup (Large),185.0
Reusable Menstrual Cup (Medium),180.0
Reusable Menstrual Cup (Small),175.0
"Rubber Examination Gloves, Non-sterile (Medium)",3.97
"Rubber Examination Gloves, Non-sterile (Small)",3.28
Ryles Tube/Nasogastric Tube (Size 10),10.31
Ryles Tube/Nasogastric Tube (Size 12),10.31
Ryles Tube/Nasogastric Tube (Size 14),10.31
Ryles Tube/Nasogastric Tube (Size 16),10.31
Ryles Tube/Nasogastric Tube (Size 18),10.31
Scalp Vein Set (Disposable) (18G),6.56
Scalp Vein Set (Disposable) (20G),6.56
Scalp Vein Set (Disposable) (22G),6.56
Scalp Vein Set (Disposable) (24G),6.56
"Silk Suture (1/2 Cir Rb needle 20mm, Length 76 cm), USP-3/0",28.13
"Silk Suture (3/8 Cir Rb needle 16mm, Length 76 cm), USP 4/0",32.81
"Silk Suture (3/8 Cir Rb needle 20mm, Length 76 cm) USP 2/0,",51.56
"Silk Suture (3/8 Circle Reverse cutting needle 26mm, Length 76 cm), Silk Suture (3/8 Circle Reverse cutting needle 26mm, Length 76 cm), USP3/0",28.13
"Silk Suture (3/8 Circle Reverse cutting needle 45mm, Length 76 cm), USP 2/0",28.13
Skin Grafting Knife Blade (Sterile),84.38
Specican 30 ml,8.0
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (10FG)",60.94
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (16FG)",37.5
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (18FG)",37.5
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (20FG)",37.5
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (22FG)",37.5
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (24FG)",37.5
"Sterile Catheter Single Use for Urinary Drainage (Foley Balloon Catheter), 2 way (8FG)",60.94
Sterile Disposable Infusion set with Microdrip (I.V.) (Adult use),14.06
Sterile Disposable Infusion set with Microdrip (I.V.) (Pediatric use),51.56
Sterile Disposable Perfusion set with airway and needle adult use 150cm long smooth kink resist,12.19
Sterile Disposable Spinal Needle 22G x 3 ½ inch,51.56
Sterile Disposable Spinal Needle 25G x 3 ½ inch,51.56
Sterile Gauze Pad size 2X2,6.56
Sterile Gauze Pad size 3X3,7.5
Sterile Gauze Pad size 4X4,8.44
Sterilized Umbilical Cotton Tape 3mm x 75cm,39.38
"Suction Catheter FG (10), 50 cm, Sterilized",7.5
"Suction Catheter FG (12), 50 cm, Sterilized",7.5
"Suction Catheter FG (14), 50 cm, Sterilized",8.44
"Suction Catheter FG (16), 50 cm, Sterilized",9.38
"Suction Catheter FG (18), 50 cm, Sterilized",9.38
"Suction Catheter FG (20), 50 cm, Sterilized",10.31
"Suction Catheter FG (6), 50 cm, Sterilized",6.56
"Suction Catheter FG (8), 50 cm, Sterilized",6.56
Suction Catheter FG 5,13.13
"Surgical Blade, No. 15, Sterilized",3.75
"Surgical Blade, No. 22, Sterilized",3.75
Surgical Cap,3.0
"Surgical Cap, Disposable(for Surgeons/Nurses)",2.0
"Surgical Face Mask, Disposable",2.0
"Surgical Rubber Gloves-Disposable, Sterile, 6.5 inch",20.63
"Surgical Rubber Gloves-Disposable, Sterile, 7 inch",20.63
"Surgical Rubber Gloves-Disposable, Sterile, 7.5 inch",20.63
"Surgical Rubber Gloves-Disposable, Sterile, 8 inch",18.75
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Niddle 20mm, Length 70cm",46.88
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Niddle 20mm, Length 70cm, USP 4/0",42.19
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Niddle 30mm, Length 90cm, USP-1/0",51.56
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Niddle 30mm, Length 90cm, USP-2/0",42.19
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Niddle 40mm, Length 90cm, USP-2/0",220.31
"Surgical Suture (Absorbable, Synthetic) 1/2 Cir Rb, Tapercut Niddle 40mm, Length 90cm",220.31
"Surgical Suture (Absorbable, Synthetic) 3/8 Cir Rb, cutting Niddle 22mm, Length 45cm",37.5
Surgical shoe cap,4.0
Syringe 10 ml with needle 21G,4.64
Syringe 2 ml with needle 24G,2.57
Syringe 20 ml with needle 23G,8.44
Syringe 5 ml with needle 24G,3.09
Thumb and Wrist brace (Extra Large),90.0
Thumb and Wrist brace (Large),90.0
Thumb and Wrist brace (Medium),90.0
Thumb and Wrist brace (Small),90.0
"Tracheostomy Tube (PVC), Sterilised, single use Size-24",206.25
Transparent film dressings (Sterile) 10cm X 12cm,60.94
Umbilical Catheter (For New Born),56.25
"Urine Collecting Bag, Disposable, 2000ml",30.0
Vein Compression Stocking Knee length (Extra Large),130.0
Vein Compression Stocking Knee length (Large),140.0
Vein Compression Stocking Knee length (Medium),140.0
Vein Compression Stocking Knee length (Small),140.0
Vein Compression Stocking Knee length (XXL),140.0
Vein Compression Stocking Thigh length (Extra Large),170.0
Vein Compression Stocking Thigh length (Large),170.0
Vein Compression Stocking Thigh length (Medium),170.0
Vein Compression Stocking Thigh length (Small),170.0
Vein Compression Stocking Thigh length (XXL),180.0
Walking Stick Tripod,540.0
Zig zag cotton,47.44
