procedure,specialty
Brain Abscess Tapping,Neuro-Surgery Procedure
Brain Biopsy,Neuro-Surgery Biopsy
Brain Mapping,Neuro-Surgery Investigation
Brain Perfusion SPECT Scan with Technetium 99m radiopharmaceuticals.,Nuclear Medicine Investigation
Breast Lumpectomy + Axilla Dissection,Cancer Surgery
Breast Lumpectomy Alone,Cancer Surgery
Breath Tests (Urea breath test/ H. pylori breath test)/RUT,Gastroenterology / Endoscopic Investigation
Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown,Dental Procedure
Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown with Ceramic facing,Dental Procedure
Bronchial Sleeve Resection,Cancer Surgery
Bronchial Stent Placement,Cancer Surgery
Bronchial Vascular Sleeve,Cancer Surgery
Bronchoscopy Diagnostic,Cancer Surgery
Bronchoscopy Therapeutic,Cancer Surgery
Bronchoscopy with foreign body (FB) removal,ENT Procedure
Brucella serology,Laboratory Investigation
Buccal/Mucosa Composite resection/Commando.,Cancer Surgery
Buccal/Mucosa wide excision Cheek Flap,Cancer Surgery
Buccal/Mucosa wide excision Peroral,Cancer Surgery
Bucket handle procedure for lid tumours per eye (for non-malignant conditions),Ophthalmology Procedure
Buckle removal per eye,Ophthalmology Procedure
Bulla Stapling,Cancer Surgery
Burr hole evacuation of chronic subdural haematoma,Neuro-Surgery Procedure
Burst Abdomen Suturing,Cancer Surgery
Burst-Abdomen Repair,Obstetrics And Gynaecology Procedure
C ANCA-IFA,Laboratory Investigation
C-Peptide (Connecting Peptide),Laboratory Investigation
C-Reactive Protein (CRP),Laboratory Investigation
C-Reactive Protein (CRP) Quantitative,Laboratory Investigation
C1 Esterase inhibitor (Quantitative ),Laboratory Investigation
C3-COMPLEMENT,Laboratory Investigation
C3F8 GAS Injection intravitreal for descemetopexy/retinopexy/pneumatopexy (per eye),Ophthalmology Procedure
C3d Single Allele Antibody for HLA Class I (C3dLSA Class I) /C3d Single Allele Antibody for HLA Class II (C3dLSA Class II),Oncology Investigations
C4-COMPLEMENT,Laboratory Investigation
CABG without bypass.,Cardiovascular And Cardiac Surgery Procedure
CAN ASSIST,Oncology Investigations
CCND1/IgH: t(11;14),Oncology Investigations
CD 19 and CD 20,Oncology Investigations
"CD 3,4 and 8 Counts",Laboratory Investigation
"CD 3,4 and 8 Percentage",Laboratory Investigation
CK MB Mass/CPK MB Mass,Laboratory Investigation
CLINICAL EXOME SEQUENCING,Oncology Investigations
CLL PANEL FISH,Oncology Investigations
CML Blast Crisis karyotyping,Oncology Investigations
CMV Quantitative (Viral load) Test,Laboratory Investigation
CPK MB/CK MB,Laboratory Investigation
CSF Rhinorrhoea Repair,Neuro-Surgery Procedure
"CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB",Laboratory Investigation
CT Angio-Neck Vessels,Radiological Investigation
CT Angiography Entire Aorta ( CT Aortogram),Radiological Investigation
CT Coronary Angiography including Calcium Score Test,Radiological Investigation
CT Guided Intervention -Percutaneous catheter drainage/tube placement excluding the cost of tube /catheter,Interventional Radiological Procedure
CT Guided biopsy including all the consumables,Interventional Radiology Procedure
CT Scan / Cone Beam CT (CBCT) Dental,Radiological Investigation
CT Scan Angiography Abdomen,Radiological Investigation
CT Scan Angiography Chest,Radiological Investigation
CT Scan Chest - without contrast (for lungs),Radiological Investigation
CT Scan Enteroclysis,Radiological Investigation
CT Scan Head / Brain- with Contrast -including CT angiography,Radiological Investigation
CT Scan Head/ Brain-Without Contrast / NCCT Head/Brain,Radiological Investigation
CT Scan Limbs -With Contrast including CT angiography,Radiological Investigation
CT Scan Limbs -Without Contrast,Radiological Investigation
CT Scan Lower Abdomen (Incl. Pelvis) Without Contrast / CT KUB without Contrast,Radiological Investigation
CT Scan Lower Abdomen (incl. Pelvis) With Contrast/ CT KUB with Contrast,Radiological Investigation
CT Scan Neck - With Contrast,Radiological Investigation
CT Scan Neck - Without Contrast,Radiological Investigation
CT Scan Orbits - With Contrast,Radiological Investigation
CT Scan Orbits - Without Contrast,Radiological Investigation
"CT Scan Spine (Cervical, Dorsal, Lumbar,Sacral)-without Contrast",Radiological Investigation
CT Scan Temporal bone - without contrast,Radiological Investigation
CT Scan Whole Abdomen With Contrast,Radiological Investigation
CT Scan Whole Abdomen Without Contrast,Radiological Investigation
CT Scan of Para Nasal Sinuses (CT PNS)- With Contrast,Radiological Investigation
CT Scan of Para Nasal Sinuses (CT PNS)- Without Contrast,Radiological Investigation
CT Urography,Radiological Investigation
Caecostomy,Abdomen/GI Surgery Procedure
Caesarean Section(CS) with or without Sterilization including Routine New Born Care,Obstetrics And Gynaecology Procedure
Caesarian Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia),Obstetrics And Gynaecology Procedure
Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3),Laboratory Investigation
Calcitonin,Laboratory Investigation
Caldwel luc Operation TMH,Cancer Surgery
Canaliculoplasty per eye,Ophthalmology Procedure
Cancer Antigen 125 (CA 125),Laboratory Investigation
Cancer Antigen 15.3 (CA 15.3),Laboratory Investigation
Cancer Antigen 19.9 (CA 19.9),Laboratory Investigation
Cantholysis and canthotomy- Both Eyes,Ophthalmology Procedure
Capsule endoscopy excluding the cost of capsule,Gastroenterology / Endoscopic Procedures
Capsulotomy of Shoulder,Orthopaedics Procedure
Carbamazepine.,Laboratory Investigation
Carcinoembryonic Antigen (CEA),Laboratory Investigation
Cardiac CT scan,Radiological Investigation
Cardiac Catheterization (CATH),Cardiology Investigation
Cardiac PET,Radiological Investigation
Carotid Doppler Bilateral,Radiological Investigation
Carotid Stenting excluding the cost of Stent,Neuro-Surgery Procedure
Carpel Tunnel decompression,Neuro-Surgery Procedure
Cartilage Grafting,Burns And Plastic Surgery Procedure
Cataract extraction with IOL with capsular tension rings (Cionni-s ring)(cost of the ring included) excluding the cost of IOL per eye,Ophthalmology Procedure
Catheter cost of Intracoronary optical coherence tomography (OCT) / Intravascular optical coherence tomography (IVOCT) / Intravascular Ventricular Assist System excluding GST(Procedure cost is included in PTCA),Cardiology Add on Procedure
Cauterization of ulcer/subconjunctival injection in both eyes,Ophthalmology Procedure
Cauterization of ulcer/subconjunctival injection in one eye,Ophthalmology Procedure
Cavernostomy,Nephrology And Urology Procedure
Cell line karyotyping,Oncology Investigations
Central Compartment clearance,Cancer Surgery
Centralization Of Ulna With Arthrodesis,Cancer Surgery
Cephalography,Radiological Investigation
Cervical Biopsy,Obstetrics And Gynaecology Procedure
Cervical Esophagostomy,Cancer Surgery
Cervical Laminoplasty,Neuro-Surgery Procedure
Cervical Neuroblastoma Excision,Cancer Surgery
Cervical Traction (per session),Physiotherapy
Cervical disc arthroplasty,Neuro-Surgery Procedure
Cervical or Dorsal or Lumbar Laminectomy,Neuro-Surgery Procedure
Chalazion incision and curettage in both eyes,Ophthalmology Procedure
Chalazion incision and curettage in one eye,Ophthalmology Procedure
Cheek Advancement,ENT Procedure
Cheek rotation flap for lid tumours per eye (for non-malignant conditions),Ophthalmology Procedure
Chemical Cautery (s)/Cryotherapy,Skin Procedure
Chest Physiotherapy/ Breathing Exercise &Postural Drainage per Session/Post Covid Rehabilitation /Pulmonary Rehabilitation/Cardiac Rehabilitation (per session),Physiotherapy
Chest Wall Excision With Any Lung Oper.,Cancer Surgery
Chest Wall Excision With Reconstruction,Cancer Surgery
Chest Wall Excision Without Reconstruct.,Cancer Surgery
Chest Wall Sinus Exploration,Cancer Surgery
Chikungunya Ig M,Laboratory Investigation
Chimerism Analysis,Oncology Investigations
Chlamydia antibody,Laboratory Investigation
Chlamydia antigen,Laboratory Investigation
Chloride,Laboratory Investigation
Cholecystectomy,Cancer Surgery
Cholecystectomy,Abdomen/GI Surgery Procedure
Cholecystectomy & Exploration of CBD,Abdomen/GI Surgery Procedure
Cholecystectomy Radical,Cancer Surgery
Cholecysto-Jejunostomy,Cancer Surgery
Cholecystostomy,Abdomen/GI Surgery Procedure
Choledocho-Duodenostomy,Cancer Surgery
Choledochoduodenostomy for Atresia of Extra Hepatic Biliary Duct,Paediatric Surgery Procedure
Chromogranin A,Laboratory Investigation
Chromosomal breakage (fragility) studies in Fanconi's Anemia/Aplastic Anemia,Oncology Investigations
Chronic Lymphocytic Leukemia (CLL) Panel,Oncology Investigations
"Chronic Lymphocytic Leukemia Comprehensive Mutation Profile (IGVH Gene Mutation & Usage, T",Oncology Investigations
Chronic Lymphocytic Leukemia IGVH Mutation Detection,Oncology Investigations
Chronic Lymphoproliferative disorder IGVH Mutation Detection,Oncology Investigations
Chronic Lymphoproliferative disorder NOTCH1 mutation / NOTCH2 mutation,Oncology Investigations
Chronic Lymphoproliferative disorder SF3B1 mutation,Oncology Investigations
Chronic Lymphoproliferative disorder TP53 mutation,Oncology Investigations
Circumcision,Cancer Surgery
Circumcision,Nephrology And Urology Procedure
Citrate Urine 24 Hour,Laboratory Investigation
Clavicle Excision,Cancer Surgery
Cleft Lip - Repair.,Burns And Plastic Surgery Procedure
Cleft Palate Repair,Burns And Plastic Surgery Procedure
Clipping of intracranial aneurysm,Neuro-Surgery Procedure
Close Reduction of Dislocations,Orthopaedics Procedure
Close Reduction of Fractures of Limb & POP,Orthopaedics Procedure
Closure of Colostomy,Abdomen/GI Surgery Procedure
Closure of Urethral Fistula,Nephrology And Urology Procedure
Clotting Time,Laboratory Investigation
Coagulation profile,Laboratory Investigation
Coarctation dilatation / Balloon dilatation of Aortic coarctation -Excluding the cost of Balloon,Cardiovascular And Cardiac Surgery Procedure
Coarctation dilatation with Stenting,Cardiovascular And Cardiac Surgery Procedure
Cold Calorie Test for Vestibular function,ENT Investigation
Colectomy Revision,Cancer Surgery
Colectomy Subtotal,Cancer Surgery
Colectomy Total,Cancer Surgery
Collar and cuff sling,Orthopaedics Procedure
Colles Fracture - Below elbow,Orthopaedics Procedure
Colles Fracture - Full plaster,Orthopaedics Procedure
Colles fracture Ant. Or post. slab,Orthopaedics Procedure
Colo-Rectal Anastomosis,Cancer Surgery
Colo-Whipple,Cancer Surgery
Colon (Left Hemicolectomy/Right,Cancer Surgery
Colon (Resection Anastomosis),Cancer Surgery
Colon (Total Proctocolectomy),Cancer Surgery
Colon Replacement of Oesophagus,Paediatric Surgery Procedure
Colonic By-Pass (Multiple/Single),Cancer Surgery
Colonic manometry,Gastroenterology / Endoscopic Investigation
Colonic stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures
Colonic stricture dilatation,Gastroenterology / Endoscopic Procedures
Coloplasty,Cancer Surgery
Colostomy,Cancer Surgery
Colostomy + Urinary Diversion,Cancer Surgery
Colostomy Closure,Cancer Surgery
Colostomy Left Iliac,Paediatric Surgery Procedure
Colostomy Transverse,Paediatric Surgery Procedure
Colostomy With Closure,Cancer Surgery
