procedure,specialty
Gonioscopy- Both Eyes,Ophthalmology Investigation
Goniotomy per eye,Ophthalmology Procedure
Green Light Laser for Prostate,Nephrology And Urology Procedure
Groin + liac Node Dissection,Cancer Surgery
Groin Node Dissection,Cancer Surgery
Groin Node Dissection (Bilateral),Cancer Surgery
Groin Node Dissection (Uni),Cancer Surgery
Growth Hormone,Laboratory Investigation
"Growth scan (including BPP, AFI, Doppler)",Radiological Investigation
H pylori serology for Coeliac disease /Celiac disease,Laboratory Investigation
H1N1 (RT-PCR),Laboratory Investigation
HBV genotyping,Laboratory Investigation
HBeAb (Hepatitis B envelope Antibody),Laboratory Investigation
HBeAg (Hepatitis B envelope Antigen),Laboratory Investigation
HBsAg Quantitative,Laboratory Investigation
HCV RNA Quantitative,Laboratory Investigation
HCV genotyping,Laboratory Investigation
HIAA 24 Hours Urinary,Laboratory Investigation
HIV Viral Load by PCR,Laboratory Investigation
HLA B27 (PCR),Laboratory Investigation
"HLA C, DQB Molecular Typing PCR - SSP",Oncology Investigations
HLA Disease Association Next Generation Sequencing HLA-A/B/DRB1/G,Oncology Investigations
HLA Disease Association Sequence based Typing HLA A/B/DRB1,Oncology Investigations
HLA Drug Hypersensitivity Next Generation Sequencing HLA-A/B/DRB1 HLA-A/B/DRB1/G,Oncology Investigations
HLA Drug Hypersensitivity Typing HLA-A/B/DRB1,Oncology Investigations
HLA Loss Chimerism,Oncology Investigations
"HLA-A, B, C, DRB1, DQB1, DPB1 (Sequence Based Typing - SBT)",Oncology Investigations
"HLA-A, B, DRB1 (Sequence Based Typing - SBT)",Oncology Investigations
"HLA-A, B, DRB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations
"HLA-C, DQB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations
HRR Gene Test,Oncology Investigations
HSV 1 & 2 IgG,Laboratory Investigation
Haemodialysis / Haemodialysis for Sero Positive cases including Dialyser and all other Consumables,Nephrology And Urology Procedure
Haemodialysis / Haemodialysis for Sero negative cases including Dialyser and all other Consumables,Nephrology And Urology Procedure
Haemoglobin (Hb),Laboratory Investigation
Haemorrhoidectomy,General Surgery
Hairy Cell Leukemia Mutation (BRAF V600E) Detection,Oncology Investigations
Head & Neck-contd,Cancer Surgery
Head Up Tilt Test (HUTT),Cardiology Investigation
Hearing Aid Trail,ENT Investigation
Heart Transplant Surgery,Cardiovascular And Cardiac Surgery Procedure
Heller-s Operation,Abdomen/GI Surgery Procedure
Hematolymphoid Malignancy At Diagnosis- Cancer Cytogenetics Testing,Oncology Investigations
Hematolymphoid Malignancy Follow-up- Cancer Cytogenetics Testing,Oncology Investigations
Hemiarthroplasty- Hip,Orthopaedics Procedure
Hemiarthroplasty- Shoulder,Orthopaedics Procedure
Hemicolectomy/Sigmoid Colectomy/transverse-colectomy),Cancer Surgery
Hemiglossectomy Peroral.,Cancer Surgery
Hemiglossectomy peroral neck dissection.,Cancer Surgery
Hemipelvectomy (Paediatric),Cancer Surgery
Hemipelvectomy External,Cancer Surgery
Hemipelvectomy Internal,Cancer Surgery
Hemispherotomy for Epilepsy,Neuro-Surgery Procedure
Hemithyroidectomy,ENT Procedure
Heostomy,Cancer Surgery
Heostomy Closure,Cancer Surgery
Hepatectomy Left Extended,Cancer Surgery
Hepatectomy Left Lateral,Cancer Surgery
Hepatectomy Right,Cancer Surgery
Hepatectomy Right Extended,Cancer Surgery
Hepatic Excision,Cancer Surgery
Hepatic Metastatectomy,Cancer Surgery
Hepatic Port Placement/Port Removal,Cancer Surgery
Hepatic Resections (Lobectomy /Hepatectomy),Abdomen/GI Surgery Procedure
Hepatic Wedge Excision,Cancer Surgery
Hepatico-Jejunostomy,Cancer Surgery
Hepatitis B Core Antibody (HBcAb) Level (Hepatitis B Core IgM Antibody),Laboratory Investigation
Hepatitis B Surface Antigen (HBsAg),Laboratory Investigation
Hepatitis B Virus (HBV) DNA Qualitative,Laboratory Investigation
Hepatitis B Virus (HBV) DNA Quantitative.,Laboratory Investigation
Hepatitis B surface antibody (anti HBs),Laboratory Investigation
Hepatitis C Virus (HCV),Laboratory Investigation
Hepatitis C Virus (HCV) RNA Qualitative.,Laboratory Investigation
Hepatobiliary Scintigraphy.,Gastro and Hepatobiliary/Nuclear Medicine Investigation
Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,Gastro and Hepatobiliary/Nuclear Medicine Investigation
Hereditary Cancer Panel,Oncology Investigations
Hiatus Hernia Repair- Abdominal (excluding cost of mesh and tacker if used),Abdomen/GI Surgery Procedure
Hiatus Hernia Repair- Transthoracic (excluding cost of mesh and tacker if used),Abdomen/GI Surgery Procedure
Hickman Cath. Removal,Cancer Surgery
Hickman Catheterisation,Cancer Surgery
High Orchiectomy,Cancer Surgery
High Orchiectomy + Serotectomy,Cancer Surgery
High Resolution computed Tomography (HRCT Chest),Radiological Investigation
High Sensitivity JAK2 Mutation Detection (V617F),Oncology Investigations
Highly Selective Vagotomy,Abdomen/GI Surgery Procedure
Hip Arthrodesis,Cancer Surgery
Hip Disarticulation,Cancer Surgery
Histone Mutation Detection Assay,Oncology Investigations
Histopathology Examination (HPE) - Frozen Section,Laboratory Investigation
Histopathology Examination (HPE) - Paraffin Section,Laboratory Investigation
Holmium YAG Core through internal Urethrotomy,Nephrology And Urology Procedure
Holmium YAG Optical Internal Urethrotomy (OIU),Nephrology And Urology Procedure
Holmium YAG Prostate Surgery,Nephrology And Urology Procedure
Holmium YAG Stone Lithotripsy,Nephrology And Urology Procedure
Holter analysis per day,Cardiology Investigation
Homocysteine,Laboratory Investigation
Hot Pack/ Cold Pack/Wax Bath/Moist Heat (per session),Physiotherapy
Hot biopsy forceps procedures,Gastroenterology / Endoscopic Procedures
Human Chorionic Gonadotropin (HCG)/ Beta HCG,Laboratory Investigation
Human Immunodeficiency Virus- HIV I and II,Laboratory Investigation
Human papillomavirus (HPV) Serology,Laboratory Investigation
Hydatid Serology,Laboratory Investigation
Hydrocele of Cord,Paediatric Surgery Procedure
Hyoid Suspension,ENT Procedure
Hypersensitive Pneumonitis Panel,Laboratory Investigation
Hysteroscopy Removal of Intra-Uterine Contraceptive Device (IUCD),Obstetrics And Gynaecology Procedure
Hysteroscopy Transcervical Resection of Endometrium (TCRE),Obstetrics And Gynaecology Procedure
ICD Placement,Cancer Surgery
"ICU/CCU/PICU/MICU/HDU (For all categories of ward entitlement, inclusive of Room Rent)",Critical Care
"IGH Characterization IGH/CCND1:t(11;14), IGH/BCL2:t(14;18),BCL6(3q27), MYC(8q24) (4markers",Oncology Investigations
IGHV Gene Mutation,Oncology Investigations
IOL exchange [excluding IOL cost] per eye,Ophthalmology Procedure
IOL explantation per eye,Ophthalmology Procedure
IOL reposition per eye,Ophthalmology Procedure
IOP measurement with Schiotz - Both Eyes,Ophthalmology Investigation
IOP measurement with applanation tonometry - Both Eyes,Ophthalmology Investigation
IRFA/DUSP22 gene rearrangement by FISH,Oncology Investigations
"IVL (Coronary Intra vascular Lithotripsy / Shock wave Lithotripsy - Including GST (Approval of Director, CGHS in consultation with Special Technical Committee (STC) is required for this procedure)",Cardiology Add on Procedure
IgG4,Laboratory Investigation
IgH/BCL2 :t(14;18),Oncology Investigations
Ileal Conduit (Bladder),Cancer Surgery
Ileosigmoidostomy and related resection,Abdomen/GI Surgery Procedure
Ileostomy,Abdomen/GI Surgery Procedure
Ileotransverse Colostomy and related resection,Abdomen/GI Surgery Procedure
Ilizarov Procedure,Cancer Surgery
Ilizarov's External Fixator,Orthopaedics Procedure
Illizarov-s / External Fixation for Trauma,Orthopaedics Procedure
Illizarov/ external fixation for limb lengthening/deformity correction,Orthopaedics Procedure
Image Guided Craniotomy,Neuro-Surgery Procedure
Immunoglobulin A(IgA),Laboratory Investigation
Immunoglobulin G (IgG),Laboratory Investigation
Immunoglobulin M(IgM),Laboratory Investigation
Impedance with stapedial reflex / Impedance Audiometry,ENT Investigation
Imperforate Anus High Anomaly - Closure of Colostomy,Paediatric Surgery Procedure
Imperforate Anus High Anomaly -Sacroabdomino Perineal Pull Through,Paediatric Surgery Procedure
Imperforate Anus Low Anomaly - Perineal Anoplasty,Paediatric Surgery Procedure
Imperforate Anus Low Anomaly -Cut Back Operation,Paediatric Surgery Procedure
Implant Reconstruction (Breast),Cancer Surgery
Implantation of Deep Brain Stimulation (DBS) -One electrode (as per guidelines mentioned in OM.No.Z15025/44/2023/DIR/CGHS/EHS Dated 09.09.2024),Neuro-Surgery Procedure
Implantation of Deep Brain Stimulation (DBS) -two electrodes (as per guidelines mentioned in OM.No.Z15025/44/2023/DIR/CGHS/EHS Dated 09.09.2024),Neuro-Surgery Procedure
Imprint Smear from Endoscopy,Laboratory Investigation
Incision & Drainage,Cancer Surgery
Incision & Drainage under local Anaesthesia (Large),General Procedure
Incision Biopsy of Growths/Ulcers,Biopsies
Incubator charges (Per day),Critical Care
Indirect (anti ds DNA Anti Smith ANCA),Laboratory Investigation
Indirect Ophthalmoscopy (Fundoscopy) - Both Eyes,Ophthalmology Investigation
Indium labelled octreotide Scan,Nuclear Medicine Investigation
Indocyanine green angiography - Both Eyes,Ophthalmology Investigation
Inferior Vena Cava (IVC) Venography and Hepatic Vein (HV Venography),Gastroenterology/Interventional Radiology Procedures
Inferior Vena Cava (IVC) filter implantation- excluding the cost of filter,Cardiovascular And Cardiac Surgery Procedure
Influenza A serology,Laboratory Investigation
Infratemporal fossa clearance.,Cancer Surgery
Inguinal Hernia - Hernioplasty excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure
Inguinal Hernia Herniorrhaphy,Abdomen/GI Surgery Procedure
Inguinal Herniotomy,Paediatric Surgery Procedure
Inguinal Node Biopsy,Cancer Surgery
Inhibin A,Laboratory Investigation
Inhibin B,Laboratory Investigation
Injection for Varicose Veins (cost of drug/sclerotherapy agent extra),General Surgery
Injection of Keloids - Ganglion,Burns And Plastic Surgery Procedure
Injection of Keloids - Haemangioma,Burns And Plastic Surgery Procedure
Inoperable Laparotomy,Cancer Surgery
Insertion of IUD/IUCD/Pessary,Obstetrics And Gynaecology Procedure
Instrumentation Revision of Shoulder/Knee Replacement,Cancer Surgery
Insulin,Laboratory Investigation
Insulin associated antibody,Laboratory Investigation
Insulin-like growth factor binding protein 3 (IGF- BP3),Laboratory Investigation
Insulin-like growth factor-1 (IGF-1),Laboratory Investigation
Interceptive Orthodontic Treatment of the Primary Dentition/Transition Dentition,Dental Procedure
Intercostal Drainage,General Procedure
Interferon Gamma Release Assay (IGRA),Laboratory Investigation
Interleukin 6 (IL 6),Laboratory Investigation
Internal Fixation of Fractures,Cancer Surgery
Internal Iliac Artery ligation,Obstetrics And Gynaecology Procedure
Internal limiting membrane (ILM) peeling (per eye),Ophthalmology Procedure
Internal urethrotomy -Core through urethroplasty,Nephrology And Urology Procedure
Internal urethrotomy -optical,Nephrology And Urology Procedure
Interphase FISH test for Chr. 1 copy number variations,Oncology Investigations
Interpolated Flap Reconstruction-Extremity.,Cancer Surgery
Interval Sterilization(minilap)-BAT / Male Sterilization(Vasectomy),Obstetrics And Gynaecology Procedure
Interventional Ultrasonography- Chorionic villus sampling (CVS),Obstetrics And Gynaecology Procedure
Interventional radiographic arterial embolization/Uterine artery embolization(UAE),Obstetrics And Gynaecology Procedure
Intra Nasal Diathermy,ENT Procedure
Intra Uterine Insemination,Obstetrics And Gynaecology Procedure
Intra vascular coiling excluding cost of the coils,Cardiology Procedure
Intra-aortic balloon pump (IABP) excluding the cost of the balloon,Cardiology Procedure
Intra-arterial thrombolysis with Tissue Plasminogen Activator (TPA) (for ischemic stroke ),Neuro-Surgery Procedure
Intra-uterine fetal blood transfusion,Obstetrics And Gynaecology Procedure
Intracytoplasmic sperm injection (ICSI),Obstetrics And Gynaecology Procedure
Intradermal (ID) Injection Keloid (Intralesional Injection) including the cost of the drug,Skin Procedure
Intralase application for keratoconus /CAIRS Corneal allogenic intrastromal ring segments per eye excluding the cost of the rings,Ophthalmology Procedure
Intraocular foreign body removal per eye,Ophthalmology Procedure
Intraoral Occlusal/Bite Wing X-Ray,Dental Investigation
Intraoral Periapical (IOPA) Radiograph X-ray/RVG(Single Film),Dental Investigation
Intravenous Pyelography (IVP),Radiological Investigation
Intravesical Instillation of BCG excluding the cost of BCG,Chemotherapy
Intravitreal Injection of drugs (Ranibizumab/ Aflibercept etc) excluding the cost of the drug per eye,Ophthalmology Procedure
"Intravitreal Insertion of Drug Implant excluding cost of the Drug Implant (Ozurdex,...etc) per eye",Ophthalmology Procedure
Intravitreal injections of antibiotics excluding the cost of the antibiotic per eye,Ophthalmology Procedure
Intussusception Operation,Paediatric Surgery Procedure
Inversion of Uterus - Abdominal Reposition,Obstetrics And Gynaecology Procedure
Inversion of Uterus - Vaginal Reposition,Obstetrics And Gynaecology Procedure
Iodine-131 Whole Body Scan,Nuclear Medicine Investigation
Iridodialysis repair or pupillary reconstruction /Cyclodialysis repair per eye,Ophthalmology Procedure
Iris cyst removal /synechiolysis/surgical iridectomy per eye,Ophthalmology Procedure
Islet cell antibody,Laboratory Investigation
Ivor Lewis,Cancer Surgery
JAK2 Exon 12 Mutation Detection,Oncology Investigations
"JAK2V617 MUTATION, WITH REFLEX TO JAK2 EX-12,CALR EX-9 MUTATION AND MPL W515, S505 MUTATION",Oncology Investigations
Jaw Tumour excision,Cancer Surgery
Jaw cyst Enucleation,Cancer Surgery
Jejunal Transposition,Cancer Surgery
Jejunostomy,Abdomen/GI Surgery Procedure
Jejunostomy/Gastrostomy,Cancer Surgery
Joints Aspiration,Orthopaedics Procedure
Jugular Catheterization for Haemodialysis,Nephrology And Urology Procedure
Junction biopsy,Gastroenterology / Endoscopic Procedures
KI67,Oncology Investigations
KIR Typing,Oncology Investigations
KMT2A Characterization for AML,Oncology Investigations
KMT2A Characterization for B-ALL,Oncology Investigations
KOH Mount,Laboratory Investigation
KRAS + NRAS + BRAF + Mutation Profile,Oncology Investigations
"Kappa Lambda Light Chains, Free, Serum/ Serum free light chains (SFLC)",Laboratory Investigation
Keratoconus correction with therapeutic contact lenses - Both Eyes,Ophthalmology Procedure
Keratoprosthesis stage I and II per eye,Ophthalmology Procedure
"Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)",Laboratory Investigation
Kidney Transplant Graft Nephrectomy,Nephrology And Urology Procedure
Kidney Transplantation (Cadaver),Nephrology And Urology Procedure
Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,Nephrology And Urology Procedure
Kidney Transplantation (related),Nephrology And Urology Procedure
Knee Arthrodesis,Cancer Surgery
Knee Arthrodesis with Turnoplasty/Allograft Spinal Decompression + Reconstruction/,Cancer Surgery
Knee Collateral Ligament Reconstruction,Orthopaedics Procedure
Knife/Punch/ Excision Biopsy of Tumaur.,Cancer Surgery
Kyphoplasty excluding the cost of implants,Neuro-Surgery Procedure
Labyrinthectomy,ENT Procedure
Lactate dehydrogenase (LDH),Laboratory Investigation
Laminectomy for intramedullary tumors,Cancer Surgery
Laparoscopic Adrenalectomy,Abdomen/GI Surgery Procedure
Laparoscopic Anterior Resection (of Intestine/Rectum),Abdomen/GI Surgery Procedure
Laparoscopic Appendectomy,Abdomen/GI Surgery Procedure
Laparoscopic Broad Ligament Hematoma Drainage with repair,Obstetrics And Gynaecology Procedure
Laparoscopic Cholecystectomy,Abdomen/GI Surgery Procedure
Laparoscopic Excenteration (Anterior),Cancer Surgery
Laparoscopic Excenteration (Posterior),Cancer Surgery
Laparoscopic Excenteration (Total),Cancer Surgery
Laparoscopic Fundoplication,Abdomen/GI Surgery Procedure
Laparoscopic GI bypass operation,Abdomen/GI Surgery Procedure
Laparoscopic Hemicolectomy,Abdomen/GI Surgery Procedure
Laparoscopic Hernia - Inguinoplasty (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure
Laparoscopic Hysterectomy,Cancer Surgery
Laparoscopic Nephrectomy,Cancer Surgery
Laparoscopic Nephrectomy,Nephrology And Urology Procedure
Laparoscopic Nephroureterectomy,Nephrology And Urology Procedure
Laparoscopic Paraumbilical Hernia Repair (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure
Laparoscopic Pelvic Node Dissection,Cancer Surgery
Laparoscopic Pyeloplasty,Nephrology And Urology Procedure
Laparoscopic Radical Hysterectomy,Cancer Surgery
Laparoscopic Removal of hydatid cyst,Abdomen/GI Surgery Procedure
Laparoscopic Retroperitoneal Node Dissection,Cancer Surgery
Laparoscopic Splenectomy,Abdomen/GI Surgery Procedure
Laparoscopic Total Colectomy,Abdomen/GI Surgery Procedure
Laparoscopic Treatment of Ectopic Pregnancy-Milking/Salpingotomy/Salpingectomy,Obstetrics And Gynaecology Procedure
Laparoscopic Treatment of Pseudo Pancreatic cyst,Abdomen/GI Surgery Procedure
Laparoscopic Ventral Hernia Repair (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure
Laparoscopic Whipple's operation (Laparoscopic Pancreaticoduodenectomy),Abdomen/GI Surgery Procedure
Laparoscopic abdominal colpopexy/sacro-colpopexy,Obstetrics And Gynaecology Procedure
Laparoscopic pyelolithotomy,Nephrology And Urology Procedure
Laparoscopic recanalization of Fallopian tubes-(Tuboplasty),Obstetrics And Gynaecology Procedure
Laparoscopic sling operations for prolapse uterus,Obstetrics And Gynaecology Procedure
Laparoscopic surgery for Renal cyst,Nephrology And Urology Procedure
Laparoscopic treatment for stress incontinence,Obstetrics And Gynaecology Procedure
Laparoscopic ureterolithotomy,Nephrology And Urology Procedure
Laparoscopically Assisted Vaginal Hysterectomy (LAVH) with or without BSO,Obstetrics And Gynaecology Procedure
Laparoscopy,Cancer Surgery
Laparoscopy Diagnostic,Cancer Surgery
Laparoscopy Sterilization/Laproscopic tubal occlusion(LTO),Obstetrics And Gynaecology Procedure
Laparoscopy Therapeutic/ Exploratory,Cancer Surgery
Laparotomy For Staging,Cancer Surgery
Laparotomy abdominal sacro-colpopexy,Obstetrics And Gynaecology Procedure
Laparotomy for Ectopic Pregnancy,Obstetrics And Gynaecology Procedure
Laparotomy peritonitis Lavage and Drainage,Obstetrics And Gynaecology Procedure
Laparotomy recanalization of Fallopian tubes-(Tuboplasty),Obstetrics And Gynaecology Procedure
Laryngectomy,ENT Procedure
Laryngectomy Near total,Cancer Surgery
Laryngectomy-Partial,Cancer Surgery
Laryngectomy-Total.,Cancer Surgery
Laryngofissure,ENT Procedure
Laryngopharyngectomy Total with Gast.pullup.,Cancer Surgery
Laryngoscopy Direct.,Cancer Surgery
Laser Ablation of Varicose Veins,Cardiovascular And Cardiac Surgery Procedure
Laser Aretynoidectomy.,Cancer Surgery
Laser Fulguration for rccurrent lesions.,Cancer Surgery
Laser Subglottic Tracheal Stenosis,Cancer Surgery
Laser Trabeculoplasty Gonioplasty - Both Eyes,Ophthalmology Procedure
Laser exciston-Supraglottic.,Cancer Surgery
Laser fulguration Respiratory Papilloma,Cancer Surgery
Laser fulguration/Excision Trachea.,Cancer Surgery
Lateral Rhinotomy,ENT Procedure
Lateral mass C1-C2 screw fixation,Neuro-Surgery Procedure
Lees- charting or Hess- charting- Both Eyes,Ophthalmology Investigation
Left Hemicolectomy,Abdomen/GI Surgery Procedure
Leptospira Ig M,Laboratory Investigation
"Lesioning procedures for Parkinson-s disease,Dystonia etc.",Neuro-Surgery Procedure
Level 1- Brachytherapy (Eye Plaque or SIVA or CVS per insertion or application),Radiotherapy
Level 1- Radiation Therapy (1-10 fractions on Cobalt),Radiotherapy
"Level 2- Brachytherapy (Simple ICA with Xray based 2D planning, ILRT, Endobilliary BCT)",Radiotherapy
Level 2- Radiation Therapy(More than 10 fractions on Cobalt OR Upto 10 fractions on LA clinical (without CT or TPS planning) without IGRT OR Hemibody palliative RT (1-2 fractions weekly)),Radiotherapy
"Level 3- Brachytherapy(Surface Mould, Radical Interstitial BCT, Intraoperative Template or interstitial brachytherapy catheter insertion)",Radiotherapy
Level 3- Radiation Therapy (LA 3D with conventional fractionation of 2-5 Gy OR Weekly hypofractionation of >5 Gy with 3D CRT plan in 1-2 fractions. No IGRT allowed.),Radiotherapy
Level 4- Brachytherapy (ICA with CT based Planning),Radiotherapy
Level 4- Radiation therapy (LA 3D with IGRT conventional fractionation of 2- 5 Gy OR Weekly hypofractionation >5 Gy with 3D CRT plan in 1-2 fractions. with IGRT),Radiotherapy
Level 5- Brachytherapy (Complex ICA with interstitial with CT or MR based planning),Radiotherapy
Level 5- Radiation Therapy (LA IMRT/ Rapid Arc/VMAT with < 5Gy per fraction and <10 IGRT (CBCT or MVCT or EPID) OR Cobalt Radical with LA boost including electron boost OR TSET OR TBI),Radiotherapy
Level 6- Radiation Therapy (LA 4D/DE or DIBH with 3D CRT/ IMRT/ Rapid Arc/VMAT with >10 IGRT (CBCT or MVCT or EPID) OR LA IMRT/ Rapid Arc/VMAT with <5Gy per fraction and >10 IGRT (CBCT or MVCT or EPID) OR Adaptive RT OR CSI OR Multisite treatment outside one FOV or one plan OR SBRT OR SRS OR SRT (per fraction dose >5Gy)),Radiotherapy
Lid Abscess incision and Drainage per eye,Ophthalmology Procedure
Lid retraction repair per eye,Ophthalmology Procedure
Limited Orthodontic Treatment of the Primary Dentition,Dental Procedure
"Lineage specific Chimerism - B Cell, T Cell and NK Cells",Oncology Investigations
Lintas Machles Tube Tempode,Gastroenterology / Endoscopic Procedures
Lipi View Both Eyes,Ophthalmology Investigation
Lipi View One Eye,Ophthalmology Investigation
"Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)",Laboratory Investigation
Lipoprotein A / Lp A,Laboratory Investigation
Liquid Biopsy (Onco),Oncology Investigations
Lithium,Laboratory Investigation
Liver Biopsy,Biopsies
Liver Function Test (LFT),Laboratory Investigation
Lobectomy/Bi-lobectomy (Pulmonary),Cancer Surgery
Local Flap Reconstruction (Extremity),Cancer Surgery
Loop Colostomy Transverse Sigmoid,Abdomen/GI Surgery Procedure
Low Density Lipoprotein (LDL),Laboratory Investigation
Lower GI Endoscopy(Colonoscopy/Sigmoidoscopy) with or without Biopsy,Gastroenterology / Endoscopic Procedures
Lumbar Discectomy,Neuro-Surgery Procedure
Lumbar Pressure Monitoring,Neuro-Surgery Investigation
Lumbar Puncture,Neuro-Surgery Procedure
Lumbar Traction (per session),Physiotherapy
Lumbar disc arthroplasty,Neuro-Surgery Procedure
Lung Basic Panel By NGS,Oncology Investigations
Lung Perfusion Scan,Pulmonology Investigation
Lung Ventilation & Perfusion Scan (V/Q Scan),Pulmonology Investigation
Lung Wedge Resection,Cancer Surgery
Luteinizing hormone (LH),Laboratory Investigation
Lymph Node Biopsy Superficial,Cancer Surgery
Lymphadenectomy,Cancer Surgery
Lymphangiography,Cardiology Investigation
Lymphocoele Drainage,Cancer Surgery
Lymphoma Panel,Oncology Investigations
Lymphoplasmacytic Leukemia / Waldenstroms Macroglobulinemia Mutation (MYD88 L265P) Detection,Oncology Investigations
MDS Panel,Oncology Investigations
MECOM (EVI1) rearrangement: inv(3)(q21.3q26.2)/t(3;3),Oncology Investigations
MGMT PCR,Oncology Investigations
MLPA per gene,Oncology Investigations
MPN (Myelo Proliferative Neoplasm)PANEL,Oncology Investigations
MR Enteroclysis,Radiological Investigation
MR Temporal Bone/ Inner ear with contrast,Radiological Investigation
MR cholecysto-pancreatography (MRCP),Radiological Investigation
MR for Salivary Glands with Sialography/Maxillofacial MRI,Radiological Investigation
MRI Abdomen - With Contrast,Radiological Investigation
MRI Abdomen - Without Contrast,Radiological Investigation
MRI Angiography - with contrast,Radiological Investigation
MRI Ankle Single joint - Without contrast,Radiological Investigation
MRI Ankle both joints - With contrast,Radiological Investigation
MRI Ankle both joints - Without contrast,Radiological Investigation
MRI Ankle single joint - With contrast,Radiological Investigation
MRI Breast - With Contrast,Radiological Investigation
MRI Breast - Without Contrast,Radiological Investigation
MRI Cardiac,Radiological Investigation
MRI Cervical/ Cervico Dorsal Spine - With Contrast,Radiological Investigation
MRI Chest - With Contrast,Radiological Investigation
MRI Chest - Without Contrast,Radiological Investigation
MRI DEFECOGRAPHY,Radiological Investigation
MRI Dorsal/ Dorso Lumbar Spine - With Contrast,Radiological Investigation
MRI Dorsal/ Dorso Lumbar Spine/Cervical/ Cervico Dorsal Spine - Without Contrast,Radiological Investigation
MRI Extremities - With contrast,Radiological Investigation
MRI Extremities - Without contrast,Radiological Investigation
MRI FISTULOGRAM,Radiological Investigation
MRI Head / Brain - Without Contrast,Radiological Investigation
MRI Head / Brain- With Contrast,Radiological Investigation
MRI Hip - With contrast,Radiological Investigation
MRI Hip - without contrast,Radiological Investigation
MRI Lumbar/ Lumbo-Sacral Spine - With Contrast,Radiological Investigation
MRI Lumbar/ Lumbo-Sacral Spine - Without Contrast,Radiological Investigation
MRI Mammography,Radiological Investigation
MRI Nasopharynx and PNS - With Contrast,Radiological Investigation
MRI Nasopharynx and PNS - Without Contrast,Radiological Investigation
MRI Neck - Without Contrast,Radiological Investigation
MRI Neck- with contrast,Radiological Investigation
MRI Orbits - With Contrast,Radiological Investigation
MRI Orbits - Without Contrast,Radiological Investigation
MRI Pelvis - Without Contrast,Radiological Investigation
MRI Pelvis - with contrast,Radiological Investigation
MRI SPECTROSCOPY,Radiological Investigation
MRI Shoulder - With contrast,Radiological Investigation
MRI Shoulder - Without contrast,Radiological Investigation
MRI Shoulder both joints - With contrast,Radiological Investigation
MRI Temporal Bone/ Inner ear without contrast,Radiological Investigation
MRI Temporomandibular - B/L - With contrast / MRI TMJ (Double Joint) with contrast,Radiological Investigation
MRI Temporomandibular - B/L - Without contrast / MRI -TMJ(Double Joint) without contrast,Radiological Investigation
MRI Whole spine - Without Contrast,Radiological Investigation
MRI Wrist Both joints - With contrast,Radiological Investigation
MRI Wrist Single joint - With contrast,Radiological Investigation
MRI Wrist Single joint - Without contrast,Radiological Investigation
MRI Wrist both joints - Without contrast,Radiological Investigation
MRI knee Single joint - With contrast,Radiological Investigation
MRI knee Single joint - Without contrast,Radiological Investigation
MRI knee both joints - With contrast,Radiological Investigation
MRI knee both joints - Without contrast,Radiological Investigation
MRI shoulder both Joints - Without contrast,Radiological Investigation
MRI whole Spine Screening- Without Contrast,Radiological Investigation
MRI-Prostate (Multi-parametric) (Including CD),Radiological Investigation
MSI ( Micro Satellite Instability) and MMR (Mis Match Repair),Oncology Investigations
MYD88 L265 Mutation Detection Test,Oncology Investigations
Macular hole surgery- Vitrectomy +membrane peeling + ILM peeling+ fluid air exchange+endolaser+ gas/silicon oil tamponade per eye,Ophthalmology Procedure
Malar and/or Zygomatic arch - Closed Reduction,Dental Procedure
Malar and/or Zygomatic arch - Open Reduction,Dental Procedure
Malrotation & Volvulus of the Midgut,Paediatric Surgery Procedure
Malrotation of Intestines Operation,Paediatric Surgery Procedure
Malyugin Ring /pupil dilator/iris expander per eye,Ophthalmology Procedure
Manchester/Fothergill-s operation,Obstetrics And Gynaecology Procedure
Mandible - Closed Reduction,Dental Procedure
Mandible - Open Reduction,Dental Procedure
Mandible Curettage.,Cancer Surgery
"Mandibulectomy- Hemi.,/Marginal/Segmental including",Cancer Surgery
Mantoux Test,Laboratory Investigation
Manual Removal of Placenta,Obstetrics And Gynaecology Procedure
Mastoidectomy,ENT Procedure
Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),ENT Procedure
Maxila Curettage.,Cancer Surgery
Maxilla - Closed Reduction,Dental Procedure
Maxilla - Open Reduction,Dental Procedure
Maxillectomy- partial with graft,Dental Procedure
Maxillectomy- partial without graft,Dental Procedure
Maxillectomy-Median/Partial/Total/Total with exenteration.,Cancer Surgery
Maxillectomy/Mandibulectomy- Total with graft,Dental Procedure
